date,attemp_id,Venue,Grade,Route,progress,falls,Belayer,Type
38811.00,63,1,5.1075,44,0.01,1,3,2
38811.00,64,1,5.105,45,0.5,1,3,2
38811.00,65,1,5.105,18,1,1,3,2
38811.00,66,1,5.1025,9,1,0,3,2
38811.00,67,1,5.1025,19,1,0,3,2
38814.00,68,1,5.1,46,1,0,3,2
38814.00,69,1,5.1025,33,1,0,3,2
38814.00,70,1,5.1075,47,1,1,3,2
38814.00,71,1,5.1075,43,1,0,3,2
38814.00,72,1,5.1075,48,1,3,3,2
38814.00,73,1,5.1025,49,1,0,3,2
38814.00,74,1,5.105,18,1,3,3,2
38814.00,75,1,5.1025,11,1,0,3,2
38816.00,76,1,5.1,39,1,0,5,2
38816.00,77,1,5.1,27,1,0,5,2
38816.00,78,1,5.105,18,1,0,5,2
38816.00,79,1,5.105,32,1,1,5,2
38816.00,80,1,5.1025,13,1,0,5,2
38816.00,81,1,5.1025,20,1,0,5,2
38816.00,82,1,5.1025,19,1,0,5,2
38816.00,83,1,5.1025,50,1,0,5,2
38816.00,84,1,5.09,51,1,0,5,2
38818.00,85,1,5.1025,20,1,0,3,2
38818.00,86,1,5.1,52,1,0,3,2
38818.00,87,1,5.1025,53,1,0,3,2
38818.00,88,1,5.1025,50,1,0,3,2
38818.00,89,1,5.1075,43,1,0,3,2
38818.00,90,1,5.105,54,1,0,3,2
38818.00,91,1,5.1075,35,0.95,0,3,2
38821.00,92,1,5.1,27,1,0,3,2
38821.00,93,1,5.105,18,1,0,3,2
38821.00,94,1,5.1075,55,1,0,3,2
38821.00,95,1,5.1075,5,1,0,3,2
38821.00,96,1,5.11,56,1,0,3,2
38821.00,97,1,5.1075,57,0.5,1,3,2
38821.00,98,1,5.105,32,1,0,3,2
38821.00,99,1,5.105,58,1,0,3,2
38821.00,100,1,5.1075,59,1,1,3,2
38823.00,101,1,5.09,60,1,0,5,2
38823.00,102,1,5.1025,50,1,0,5,2
38823.00,103,1,5.105,61,1,0,5,2
38823.00,104,1,5.1075,62,1,4,5,2
38823.00,105,1,5.1075,59,1,0,5,2
38823.00,106,1,5.1075,63,1,0,5,2
38823.00,107,1,5.1075,57,1,0,5,2
38823.00,108,1,5.1075,64,1,0,5,2
38823.00,109,1,5.105,65,1,0,5,2
38823.00,110,1,5.1075,35,1,1,5,2
38825.00,111,1,5.1025,33,1,0,3,2
38825.00,112,1,5.1075,44,1,4,3,2
38825.00,113,1,5.1025,66,1,0,3,2
38825.00,114,1,5.105,18,1,0,3,2
38825.00,115,1,5.1025,11,1,0,3,2
38825.00,116,1,5.1025,67,1,0,3,2
38825.00,117,1,5.1025,49,1,0,3,2
38825.00,118,1,5.1025,40,1,0,3,2
38828.00,119,1,5.1025,49,1,0,3,2
38828.00,120,1,5.1025,49,1,0,3,2
38828.00,121,1,5.1,27,1,0,3,2
38828.00,122,1,5.11,68,1,1,3,2
38828.00,123,1,5.1,42,1,0,3,2
38828.00,124,1,5.11,69,1,2,3,2
38828.00,125,1,5.1075,63,1,0,3,2
38828.00,126,1,5.1075,57,1,0,3,2
38828.00,127,1,5.1075,70,1,1,3,2
38828.00,128,1,5.1075,35,1,0,3,2
38830.00,129,2,5.1025,71,1,0,5,2
38830.00,130,2,5.1025,72,1,0,5,2
38830.00,131,2,5.105,73,1,5,5,2
38830.00,132,2,5.1025,74,1,0,5,2
38830.00,133,2,5.105,75,1,0,5,2
38831.00,134,1,5.1025,13,1,0,6,2
38831.00,135,1,5.1,39,1,0,6,2
38831.00,136,1,5.1025,76,1,1,6,6
38831.00,137,1,5.1,27,1,0,6,2
38832.00,138,1,5.1,39,1,0,3,2
38832.00,139,1,5.1025,13,1,0,3,2
38832.00,140,1,5.1025,11,1,0,3,2
38832.00,141,1,5.105,61,1,0,3,2
38832.00,142,1,5.1,27,1,0,3,2
38832.00,143,1,5.1,8,1,0,3,2
38835.00,144,1,5.1025,67,1,0,3,2
38835.00,145,1,5.1,77,1,0,3,2
38835.00,146,1,5.105,18,1,0,3,2
38835.00,147,1,5.1075,35,1,0,3,2
38835.00,148,1,5.11,78,0.5,3,3,2
38835.00,149,1,5.11,79,0.75,2,3,2
38835.00,150,1,5.11,80,1,1,3,2
38835.00,151,1,5.1075,62,1,1,3,2
38835.00,152,1,5.1025,33,1,0,3,2
38837.00,153,3,5.09,81,1,2,3,2
38837.00,154,3,5.1,82,1,2,3,2
38837.00,155,3,5.09,81,1,2,3,2
38839.00,156,1,5.1,8,1,0,3,6
38839.00,157,1,5.1025,13,1,0,3,6
38839.00,158,1,5.1,39,1,0,3,6
38839.00,159,1,5.1,27,1,0,3,6
38839.00,160,1,5.1025,4,1,0,3,6
38839.00,161,1,5.1025,11,1,0,3,6
38842.00,162,1,5.105,18,1,0,3,2
38842.00,163,1,5.1025,13,1,0,3,2
38842.00,164,1,5.1075,59,1,0,3,2
38842.00,165,1,5.11,56,1,0,3,2
38842.00,166,1,5.11,83,1,0,3,2
38842.00,167,1,5.11,80,1,1,3,2
38842.00,168,1,5.1075,84,1,0,3,2
38842.00,169,1,5.11,79,1,2,3,2
38845.00,170,2,5.09,85,1,0,5,2
38845.00,171,2,5.1025,86,1,0,5,2
38845.00,172,2,5.1,87,1,0,5,2
38845.00,173,2,5.105,88,1,0,5,2
38845.00,174,2,5.09,89,1,0,5,2
38845.00,175,2,5.1025,74,1,0,5,2
38845.00,176,2,5.105,90,1,0,5,2
38847.00,177,1,5.1,10,1,0,7,2
38847.00,178,1,5.105,91,1,0,7,2
38847.00,179,1,5.1075,92,1,0,7,2
38847.00,180,1,5.1075,92,1,0,7,2
38847.00,181,1,5.11,80,1,1,7,2
38847.00,182,1,5.11,79,1,0,7,2
38847.00,183,1,5.1125,93,0.01,3,7,2
38847.00,184,1,5.11,69,1,1,7,2
38849.00,185,1,5.1,77,1,0,3,6
38849.00,186,1,5.11,80,1,1,3,2
38849.00,187,1,5.105,32,1,0,3,6
38849.00,188,1,5.1,39,1,0,3,6
38849.00,189,1,5.1,94,1,0,3,6
38849.00,190,1,5.1,95,1,0,3,6
38853.00,191,1,5.1,27,1,0,3,6
38853.00,192,1,5.1025,11,1,0,3,6
38853.00,193,1,5.1,96,1,0,3,2
38853.00,194,1,5.1025,38,1,0,3,6
38853.00,195,1,5.105,97,1,0,3,2
38853.00,196,1,5.105,32,1,1,3,6
38860.00,197,1,5.1,42,1,0,3,2
38860.00,198,1,5.1025,98,1,0,3,3
38860.00,199,1,5.11,80,1,1,3,2
38860.00,200,1,5.11,99,1,3,3,2
38860.00,201,1,5.1075,100,1,0,3,2
38862.00,202,1,5.1025,38,1,0,3,2
38862.00,203,1,5.1,101,1,0,3,3
38862.00,204,1,5.1,27,1,0,3,3
38870.00,205,1,5.1,102,1,0,3,3
38870.00,206,1,5.1,103,1,0,3,3
38870.00,207,1,5.1,104,1,0,3,2
38870.00,208,1,5.1,105,1,0,3,2
38870.00,209,1,5.1025,98,1,0,3,2
38870.00,210,1,5.1,27,1,0,3,3
38870.00,211,1,5.1075,57,1,0,3,2
38873.00,212,1,5.1,27,1,0,3,3
38873.00,213,1,5.1025,106,1,0,3,2
38873.00,214,1,5.1025,107,0,0,3,3
38873.00,215,1,5.1075,108,0.8,2,3,2
38873.00,216,1,5.1025,109,0.1,3,3,3
38873.00,217,1,5.11,99,0.1,2,3,2
38873.00,218,1,5.1075,110,1,0,3,2
38877.00,219,1,5.1,111,1,0,3,3
38877.00,220,1,5.1025,112,1,0,3,3
38877.00,221,1,5.105,113,0.25,2,3,3
38878.00,222,1,5.105,114,1,1,3,3
38884.00,223,1,5.1025,115,1,0,3,2
38884.00,224,1,5.1075,116,1,0,3,2
38884.00,225,1,5.105,117,1,0,3,2
38884.00,226,1,5.105,118,1,0,3,2
38884.00,227,1,5.1075,119,1,1,3,2
38884.00,228,1,5.1,120,1,0,3,2
38884.00,229,1,5.1075,121,1,1,3,2
38884.00,230,1,5.1075,122,1,0,3,2
38884.00,231,1,5.1025,123,1,0,3,2
38884.00,232,1,5.1075,92,1,1,3,2
38884.00,233,1,5.105,91,1,1,3,2
38886.00,234,2,5.1,124,1,0,5,2
38886.00,235,2,5.1075,125,1,0,5,2
38886.00,236,2,5.1075,126,1,0,5,2
38886.00,237,2,5.105,75,1,0,5,2
38886.00,238,2,5.11,127,1,2,5,2
38886.00,239,2,5.1075,128,0.75,3,5,2
38888.00,240,1,5.1025,129,1,0,3,2
38888.00,241,1,5.1025,129,1,0,3,2
38888.00,242,1,5.1025,76,0.75,0,3,3
38888.00,243,1,5.1075,130,1,1,3,2
38888.00,244,1,5.1,131,1,0,3,2
38888.00,245,1,5.1075,92,1,0,3,2
38888.00,246,1,5.105,91,1,1,3,2
38888.00,247,1,5.105,132,1,0,3,2
38888.00,248,1,5.1025,49,1,0,3,2
38888.00,249,1,5.11,133,1,2,3,2
38891.00,250,1,5.1,134,1,0,8,2
38891.00,251,1,5.105,117,1,0,8,2
38891.00,252,1,5.1025,135,1,0,8,2
38891.00,253,1,5.1025,112,0.75,1,8,2
38891.00,254,1,5.105,97,1,1,8,2
38891.00,255,1,5.1075,136,1,2,8,2
38891.00,256,1,5.1075,136,1,0,8,2
38891.00,257,1,5.1075,136,1,1,8,2
38896.00,258,1,5.1025,137,1,0,8,2
38896.00,259,1,5.1075,116,1,0,8,2
38896.00,260,1,5.1025,112,0.75,0,8,2
38896.00,261,1,5.1075,136,1,0,8,2
38896.00,262,1,5.11,138,1,1,8,2
38896.00,263,1,5.11,133,1,3,8,2
38896.00,264,1,5.1075,62,0.25,1,8,2
38896.00,265,1,5.09,139,1,0,8,2
38904.00,266,1,5.1025,140,1,0,8,6
38904.00,267,1,5.105,141,1,0,8,6
38904.00,268,1,5.1025,76,0.95,0,8,3
38904.00,269,1,5.1075,136,1,0,8,2
38904.00,270,1,5.11,142,0.75,3,8,2
38904.00,271,1,5.1075,143,1,0,8,2
38904.00,272,1,5.1075,144,0.01,0,8,2
38904.00,273,1,5.1,145,1,0,8,2
38904.00,274,1,5.1075,146,1,0,8,2
38906.00,275,1,5.1025,147,1,0,8,2
38906.00,276,1,5.1075,148,1,1,8,2
38906.00,277,1,5.11,149,0.01,1,8,2
38906.00,278,1,5.1075,150,1,4,8,2
38909.00,279,1,5.1025,151,1,0,8,2
38909.00,280,1,5.1075,152,1,0,8,2
38909.00,281,1,5.1075,136,1,0,8,2
38909.00,282,1,5.1075,144,1,0,8,2
38909.00,283,1,5.1075,122,1,0,8,2
38909.00,284,1,5.11,153,1,3,8,2
38909.00,285,1,5.1,154,1,0,8,2
38909.00,286,1,5.11,99,1,4,8,2
38909.00,287,1,5.11,155,1,5,8,2
38909.00,288,1,5.1025,156,1,3,8,2
38913.00,289,1,5.1025,151,1,0,8,2
38913.00,290,1,5.1025,157,1,0,8,2
38913.00,291,1,5.1075,136,1,0,8,2
38913.00,292,1,5.105,158,1,2,8,2
38913.00,293,1,5.11,159,1,0,8,2
38913.00,294,1,5.1075,160,1,0,8,2
38913.00,295,1,5.1,161,0.25,0,8,2
38913.00,296,1,5.105,162,1,0,8,2
38919.00,297,1,5.105,117,1,0,8,2
38919.00,298,1,5.105,163,1,0,8,2
38919.00,299,1,5.1075,144,1,0,8,2
38919.00,300,1,5.11,164,1,1,8,2
38919.00,301,1,5.11,138,0.75,2,8,2
38919.00,302,1,5.1075,165,1,1,8,2
38919.00,303,1,5.1025,166,1,0,8,2
38919.00,304,1,5.1075,143,1,1,8,2
38919.00,305,1,5.1075,167,1,2,8,2
38927.00,306,1,5.1025,151,1,0,8,2
38927.00,307,1,5.105,118,1,0,8,2
38927.00,308,1,5.1075,136,1,0,8,2
38927.00,309,1,5.11,168,0.95,5,8,2
38927.00,310,1,5.11,159,1,0,8,2
38927.00,311,1,5.1075,121,1,0,8,2
38947.00,312,1,5.1025,137,1,0,8,2
38947.00,313,1,5.1075,169,1,0,8,2
38947.00,314,1,5.1075,170,1,1,8,2
38947.00,315,1,5.1075,171,1,0,8,2
38947.00,316,1,5.1075,172,1,0,8,2
38947.00,317,1,5.115,173,1,0,8,2
38947.00,318,1,5.1025,174,1,0,8,2
38947.00,319,1,5.105,175,1,0,8,2
38970.00,320,1,5.09,176,1,0,8,2
38970.00,321,1,5.1,177,1,0,8,2
38970.00,322,1,5.105,178,1,0,8,2
38970.00,323,1,5.105,162,1,0,8,2
38970.00,324,1,5.1025,179,1,2,8,2
38970.00,325,1,5.105,180,0.75,2,8,2
38970.00,326,1,5.105,181,1,0,8,2
38970.00,327,1,5.1025,166,1,0,8,2
38973.00,328,1,5.09,182,1,0,8,2
38973.00,329,1,5.1025,183,1,0,8,2
38973.00,330,1,5.1025,179,1,0,8,2
38973.00,331,1,5.1075,184,0.01,0,8,2
38973.00,332,1,5.1075,184,1,2,8,2
38973.00,333,1,5.1,185,1,0,8,2
38973.00,334,1,5.1,185,1,0,8,2
38973.00,335,1,5.105,186,1,0,8,2
38973.00,336,1,5.11,187,1,0,8,2
38975.00,337,1,5.1,188,1,0,8,2
38975.00,338,1,5.1075,170,1,0,8,2
38975.00,339,1,5.1075,143,1,0,8,2
38975.00,340,1,5.1075,144,1,0,8,2
38975.00,341,1,5.1025,179,1,0,8,2
38975.00,342,1,5.1,189,1,0,8,2
38975.00,343,1,5.1125,190,0.25,2,8,2
38975.00,344,1,5.105,178,1,0,8,2
38975.00,345,1,5.1075,146,1,0,8,2
38980.00,346,1,5.1,191,1,0,7,2
38980.00,347,1,5.1075,192,1,0,7,2
38980.00,348,1,5.1075,172,1,0,7,2
38980.00,349,1,5.11,193,0.25,0,7,2
38980.00,350,1,5.11,187,1,0,7,2
38980.00,351,1,5.11,194,0.95,1,7,2
38980.00,352,1,5.1125,195,0.1,5,7,2
38982.00,353,1,5.09,196,1,0,9,2
38982.00,354,1,5.1075,197,1,0,9,2
38982.00,355,1,5.115,173,1,0,9,2
38982.00,356,1,5.11,198,0.01,2,9,2
38982.00,357,1,5.11,199,0.5,0,9,2
38982.00,358,1,5.105,175,1,0,9,2
38982.00,359,1,5.11,187,1,0,9,2
38986.00,360,1,5.1025,183,1,0,7,2
38986.00,361,1,5.1075,200,1,0,7,2
38986.00,362,1,5.11,193,0.01,0,7,2
38986.00,363,1,5.11,201,0.01,0,7,2
38986.00,364,1,5.105,202,1,0,7,2
38986.00,365,1,5.115,173,1,2,7,2
38989.00,366,1,5.1,191,1,0,9,2
38989.00,367,1,5.1075,144,1,0,9,2
38989.00,368,1,5.11,193,0.25,1,9,2
38989.00,369,1,5.11,199,1,2,9,2
38991.00,370,1,5.1,203,1,0,5,2
38991.00,371,1,5.105,204,1,0,5,2
38991.00,372,1,5.11,198,0.25,2,5,2
38991.00,373,1,5.11,193,0.5,3,5,2
38991.00,374,1,5.1075,205,0.25,2,5,2
38991.00,375,1,5.1075,205,0.95,5,5,2
38991.00,376,1,5.105,180,0.5,2,5,2
38991.00,377,1,5.1075,206,1,2,5,2
38991.00,378,1,5.09,207,1,0,5,2
38996.00,379,1,5.1025,208,1,0,7,2
38996.00,380,1,5.1075,209,1,0,7,2
38996.00,381,1,5.11,199,1,3,7,2
38996.00,382,1,5.1075,210,1,0,7,2
38999.00,383,1,5.1,188,1,0,7,2
38999.00,384,1,5.105,204,1,0,7,2
38999.00,385,1,5.11,198,0.25,0,7,2
38999.00,386,1,5.105,180,1,0,7,2
38999.00,387,1,5.1075,211,1,0,7,2
38999.00,388,1,5.11,199,1,4,7,2
39003.00,389,1,5.1,212,1,0,7,2
39003.00,390,1,5.105,180,1,0,7,2
39003.00,391,1,5.11,193,0.5,0,7,2
39003.00,392,1,5.11,213,1,0,7,2
39003.00,393,1,5.11,198,0.25,1,7,2
39003.00,394,1,5.11,214,1,5,7,2
39013.00,395,1,5.1,212,1,0,7,2
39013.00,396,1,5.105,215,1,0,7,2
39013.00,397,1,5.1075,184,1,5,7,2
39013.00,398,1,5.1075,169,1,0,7,2
39013.00,399,1,5.11,216,0.01,5,7,2
39013.00,400,1,5.09,217,1,0,7,2
39013.00,401,1,5.1125,218,0.75,5,7,2
39014.00,402,1,5.1,219,1,0,10,2
39014.00,403,1,5.105,180,1,0,10,2
39014.00,404,1,5.1125,220,1,3,10,2
39014.00,405,1,5.1075,210,1,0,10,2
39014.00,406,1,5.1075,211,1,0,10,2
39014.00,407,1,5.11,198,0.01,1,10,2
39014.00,408,1,5.1075,184,1,3,10,2
39016.00,409,1,5.09,221,1,0,11,2
39016.00,410,1,5.1025,222,1,0,11,2
39016.00,411,1,5.1025,179,1,0,11,2
39016.00,412,1,5.1,223,1,0,11,2
39016.00,413,1,5.1,212,1,0,11,2
39016.00,414,1,5.1,224,1,0,11,2
39016.00,415,1,5.1,224,1,0,11,2
39016.00,416,1,5.1,224,1,0,11,2
39017.00,417,1,5.1,225,1,0,10,2
39017.00,418,1,5.105,226,1,0,10,2
39017.00,419,1,5.105,227,1,0,10,2
39017.00,420,1,5.11,214,1,4,10,2
39017.00,421,1,5.11,213,0.5,0,10,2
39020.00,422,1,5.1,228,1,0,7,2
39020.00,423,1,5.105,226,1,0,7,2
39020.00,424,1,5.11,229,0.01,3,7,2
39020.00,425,1,5.105,227,1,0,7,2
39020.00,426,1,5.11,230,1,0,7,2
39022.00,427,1,5.1025,231,1,0,7,2
39022.00,428,1,5.1075,211,1,0,7,2
39022.00,429,1,5.11,198,0.5,0,7,2
39022.00,430,1,5.105,232,0.01,0,7,2
39022.00,431,1,5.1,233,1,0,7,2
39022.00,432,1,5.105,234,1,0,7,2
39022.00,433,1,5.105,227,1,0,7,2
39024.00,434,1,5.1,235,1,0,10,6
39024.00,435,1,5.1025,236,1,0,10,6
39024.00,436,1,5.1075,237,1,2,10,6
39024.00,437,1,5.1075,238,1,2,10,6
39024.00,438,1,5.1025,239,1,0,10,6
39024.00,439,1,5.11,240,1,3,10,2
39029.00,440,1,5.1025,241,1,0,7,6
39029.00,441,1,5.1025,242,1,0,7,6
39029.00,442,1,5.105,243,1,0,7,6
39029.00,443,1,5.11,198,1,4,7,2
39031.00,444,1,5.1,233,1,0,7,2
39031.00,445,1,5.105,244,1,0,7,2
39031.00,446,1,5.11,214,1,5,7,2
39031.00,447,1,5.105,232,0.01,3,7,2
39043.00,448,1,5.1,233,1,0,7,2
39043.00,449,1,5.105,245,1,0,7,2
39043.00,450,1,5.1075,246,1,0,7,2
39043.00,451,1,5.11,247,0.5,2,7,2
39043.00,452,1,5.11,230,1,0,7,2
39043.00,453,1,5.115,248,0.5,2,7,2
39043.00,454,1,5.105,249,1,0,7,2
39049.00,455,1,5.1025,250,1,0,7,2
39049.00,456,1,5.105,227,1,0,7,2
39049.00,457,1,5.1075,251,1,1,7,2
39049.00,458,1,5.11,252,1,0,7,2
39049.00,459,1,5.1225,253,0.25,5,7,2
39049.00,460,1,5.1025,231,1,0,7,2
39092.00,461,1,5.09,254,1,0,7,2
39092.00,462,1,5.1025,255,1,0,7,2
39092.00,463,1,5.11,256,1,0,7,2
39092.00,464,1,5.11,257,0.5,3,7,2
39092.00,465,1,5.1075,258,1,0,7,2
39092.00,466,1,5.105,259,1,0,7,2
39092.00,467,1,5.105,260,1,2,7,2
39036.00,468,1,5.105,232,1,1,7,2
39037.00,469,1,5.1075,210,1,0,7,2
39038.00,470,1,5.105,261,1,0,7,2
39039.00,471,1,5.105,262,1,0,7,2
39040.00,472,1,5.1175,263,0.25,1,7,2
39041.00,473,1,5.1,264,1,0,7,2
39042.00,474,1,5.1,264,1,0,7,2
39055.00,475,1,5.1025,265,1,0,7,2
39055.00,476,1,5.105,261,1,0,7,2
39055.00,477,1,5.11,247,1,4,7,2
39055.00,478,1,5.1075,266,1,0,7,2
39055.00,479,1,5.1125,267,11,0,7,2
39055.00,480,1,4.5,268,0.9,0,7,2
39055.00,481,1,5.1075,269,1,2,7,2
39057.00,482,1,5.1025,270,1,0,7,2
39057.00,483,1,5.105,271,1,0,7,2
39057.00,484,1,5.11,229,0.05,0,7,2
39057.00,485,1,5.11,214,1,5,7,2
39057.00,486,1,5.11,213,1,3,7,2
39057.00,487,1,5.1075,272,1,0,7,2
39057.00,488,1,5.11,252,1,0,7,2
39062.00,489,1,5.1025,273,1,0,7,2
39062.00,490,1,5.1075,266,1,0,7,2
39062.00,491,1,5.11,274,1,0,7,2
39062.00,492,1,5.115,275,0.05,0,7,2
39062.00,493,1,5.1025,276,1,0,7,2
39062.00,494,1,5.11,277,1,0,7,2
39064.00,495,1,5.1,278,1,0,7,2
39064.00,496,1,5.105,249,1,0,7,2
39064.00,497,1,5.1125,279,1,0,7,2
39064.00,498,1,5.115,248,1,5,7,2
39064.00,499,1,5.11,214,0.01,0,7,2
39064.00,500,1,5.105,244,1,0,7,2
39064.00,501,1,5.105,261,1,0,7,2
39066.00,502,1,5.1025,280,1,0,5,2
39066.00,503,1,5.105,281,1,0,5,2
39066.00,504,1,5.1075,282,1,0,5,2
39066.00,505,1,5.11,283,1,0,5,2
39066.00,506,1,5.11,277,1,1,5,2
39066.00,507,1,5.105,284,1,0,5,2
39066.00,508,1,5.1125,285,1,0,5,2
39066.00,509,1,5.1025,286,1,0,5,2
39066.00,510,1,5.1075,287,1,0,5,2
39066.00,511,1,5.1,288,1,0,5,2
39090.00,512,1,5.1,228,1,0,7,2
39090.00,513,1,5.1025,265,1,0,7,2
39090.00,514,1,5.105,245,1,0,7,2
39090.00,515,1,5.1075,289,1,0,7,2
39090.00,516,1,5.1075,290,1,0,7,2
39090.00,517,1,5.1025,291,1,0,7,2
39090.00,518,1,5.1075,246,1,0,7,2
39090.00,519,1,5.1075,282,1,0,7,2
39090.00,520,1,5.1075,292,1,0,7,2
39096.00,521,1,5.1,288,1,0,3,2
39096.00,522,1,5.105,284,1,0,3,2
39096.00,523,1,5.11,293,1,4,3,2
39096.00,524,1,5.1075,246,1,0,3,2
39096.00,525,1,5.1125,294,1,0,3,2
39096.00,526,1,5.11,283,1,0,3,2
39096.00,527,1,5.1175,295,0.15,0,3,2
39096.00,528,1,5.1075,296,1,0,3,2
39096.00,529,1,5.11,297,1,0,3,2
39096.00,530,1,5.1125,285,1,3,3,2
39096.00,531,1,5.1075,298,1,1,3,2
39097.00,532,1,5.1,225,1,0,7,2
39097.00,533,1,5.105,299,1,0,7,2
39097.00,534,1,5.1075,251,0.75,1,7,2
39097.00,535,1,5.1075,298,1,0,7,2
39097.00,536,1,5.1125,285,1,0,7,2
39097.00,537,1,5.11,297,1,0,7,2
39097.00,538,1,5.11,300,1,0,7,2
39097.00,539,1,5.11,252,1,0,7,2
39099.00,540,1,5.1,301,1,0,5,2
39099.00,542,1,5.1075,282,1,0,5,2
39099.00,545,1,5.11,303,1,1,5,2
39099.00,547,1,5.11,304,0.9,5,5,2
39099.00,549,1,5.11,293,0.05,0,5,2
39099.00,550,1,5.105,284,1,4,5,2
39099.00,552,1,5.1025,305,1,0,5,2
39099.00,555,1,5.105,306,1,0,5,2
39101.00,557,1,5.1,288,1,0,7,2
39101.00,559,1,5.105,307,1,0,7,2
39101.00,561,1,5.105,262,1,0,7,2
39101.00,563,1,5.1075,251,0.86,0,7,2
39101.00,565,1,5.1075,251,0.86,0,7,2
39101.00,567,1,5.1075,292,1,0,7,2
39101.00,569,1,5.1125,308,1,2,7,2
39104.00,571,4,5.1,309,1,1,3,2
39104.00,573,4,5.105,310,1,2,3,2
39104.00,574,4,5.105,310,1,0,3,2
39104.00,576,4,5.08,312,1,0,3,2
39108.00,577,1,5.1,313,1,0,7,2
39108.00,579,1,5.105,314,1,0,7,2
39108.00,581,1,5.1075,290,1,0,7,2
39108.00,583,1,5.1075,251,1,4,7,2
39108.00,585,1,5.1125,315,0.05,0,7,2
39108.00,588,1,5.11,247,0.25,0,7,2
39108.00,589,1,5.1075,296,1,0,7,2
39108.00,591,1,5.1125,279,1,0,7,2
39110.00,593,1,5.1,316,1,0,5,6
39110.00,595,1,5.105,284,1,0,5,6
39110.00,597,1,5.1075,251,1,3,5,6
39110.00,599,1,5.1075,317,1,1,5,6
39110.00,601,1,5.11,303,1,4,5,6
39110.00,603,1,5.1125,308,1,2,5,2
39110.00,605,1,5.1125,267,1,5,5,2
39110.00,607,1,5.1125,279,1,0,5,2
39110.00,609,1,5.1175,318,0.1,0,5,2
39110.00,611,1,5.115,248,0.25,0,5,2
39112.00,614,1,5.105,284,1,0,5,6
39112.00,616,1,5.1025,280,1,0,5,6
39112.00,618,1,5.105,261,1,0,5,6
39112.00,620,1,5.1075,287,1,0,5,6
39112.00,622,1,5.11,274,1,0,5,2
39112.00,624,1,5.11,283,1,0,5,6
39112.00,626,1,5.1075,317,1,0,5,6
39112.00,628,1,5.11,293,0.5,2,5,2
39112.00,630,1,5.105,320,1,0,5,2
39116.00,631,1,5.1,288,1,0,12,6
39116.00,633,1,5.105,261,1,0,12,6
39116.00,635,1,5.11,303,1,0,12,6
39116.00,637,1,5.11,283,1,0,12,6
39116.00,639,1,5.1125,321,1,4,12,2
